Pump,RPM,QL_bpd,Head_ft,DP_psi,BHP_hp,Efficiency,Ns,R2_m,D_in,B1,B2,ZI,ZD,Ptank_psi,Tin_F,QG_bpd,TargetVISL_cp,DENL_kgm3,WC,Comments
P100,3600,0,57.6929,25.01145882,2.712451,0,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,1000,59.47551946,25.78427338,2.905440696,0.150973013,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,2000,59.17046402,25.65202345,3.090908354,0.2823722,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,3000,57.71564636,25.02131999,3.271300593,0.390361934,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,4000,55.72864232,24.15989909,3.447218262,0.476916961,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,5000,53.5577225,23.21874564,3.617732956,0.545919609,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,6000,51.33288384,22.2542169,3.780703533,0.600824157,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,7000,49.0168812,21.25016606,3.933092627,0.64340234,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,8000,46.45625894,20.14006589,4.071283161,0.67324945,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,9000,43.4323825,18.82913229,4.191394867,0.687813477,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,10000,39.71247,17.21644791,4.2896008,0.682783657,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,11000,35.10062382,15.21708576,4.362443849,0.652755839,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,12000,29.48886218,12.78423276,4.407153255,0.592180639,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,13000,22.90815072,9.931313355,4.421961129,0.496697025,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,14000,15.57943408,6.754113138,4.406418963,0.36506233,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,15000,7.9646675,3.452902405,4.361714144,0.202010901,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
P100,3600,16000,0.817848403,0.354559775,4.290986474,0.022490999,3448,0.05097,5,35.315,38.17,7,7,100,60,0,1,1000,100,none
TE2700,3500,0,69.434,30.064922,0.849055,0,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,101.443,69.5283,30.1057539,0.85849,0.060519146,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,300.271,69.2453,29.9832149,0.88679,0.172713881,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,503.156,68.5849,29.6972617,0.93396,0.272174371,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,689.811,67.9245,29.4113085,0.995285,0.346779523,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,892.696,67.0755,29.0436915,1.056605,0.417444924,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,1095.58,66.1321,28.6351993,1.12264,0.475401158,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,1290.35,65.1887,28.2267071,1.193395,0.519206321,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,1501.35,64.0566,27.7365078,1.245285,0.568880979,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,1696.12,62.6415,27.1237695,1.306605,0.598988862,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,1894.95,61.3208,26.5519064,1.353775,0.632271223,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,2105.95,59.1509,25.6123397,1.40566,0.652789958,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,2288.55,57.3585,24.8362305,1.43868,0.672106852,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,2495.49,54.9057,23.7741681,1.4717,0.685801318,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,2698.38,52.1698,22.5895234,1.495285,0.693493896,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,2897.2,48.9623,21.2006759,1.51887,0.68796132,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,3096.03,45.3774,19.6484142,1.53302,0.675058308,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,3298.92,41.3208,17.8919064,1.54717,0.649003155,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,3505.86,36.8868,15.9719844,1.556605,0.611971881,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,3692.52,32.6415,14.1337695,1.56604,0.566936544,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,3899.46,27.3585,11.8462305,1.56604,0.501808762,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4094.23,22.4528,9.7220624,1.56604,0.432398553,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4297.11,17.2642,7.4753986,1.551885,0.352133816,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
TE2700,3500,4500,12.4528,5.3920624,1.542455,0.267615561,1600,0.056054,5,19.5,27.4,5,9,100,60,0,1,1000,100,none
