index,Case,Test,QL_bpd,TargetRPM,TargetP_psi,RPM,TargetVISL_cp,DP_psi,Ns,D_in,DENL_kgm3,WR_%,WC,Head_ft,exp_Ns,BHP_hp,VISL_cP_real,QL_round,eff_%,R2_m,Ptank_psi,Tin_F,QG_bpd,Pump,Comments
0,DN1750_Banjar,Viscosity,56.43772291,2000,100,2000,57,2.93225,2185,4,857.0087589,0,0,7.901832838,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
1,DN1750_Banjar,Viscosity,64.97662493,2000,100,2000,57,2.91940625,2185,4,857.1701146,0,0,7.865740532,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
2,DN1750_Banjar,Viscosity,72.07547946,2000,100,2000,57,2.9010625,2185,4,857.226669,0,0,7.815801394,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
3,DN1750_Banjar,Viscosity,87.16496512,2000,100,2000,57,2.850875,2185,4,857.2755398,0,0,7.680152556,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
4,DN1750_Banjar,Viscosity,98.36936164,2000,100,2000,57,2.7999375,2185,4,857.3411039,0,0,7.542351966,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
5,DN1750_Banjar,Viscosity,115.1127878,2000,100,2000,57,2.7701875,2185,4,857.3466034,0,0,7.46216482,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
6,DN1750_Banjar,Viscosity,123.98018,2000,100,2000,57,2.7680625,2185,4,857.2760078,0,0,7.457054651,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
7,DN1750_Banjar,Viscosity,187.9371121,2000,100,2000,57,2.636625,2185,4,857.2277611,0,0,7.103366818,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
8,DN1750_Banjar,Viscosity,253.4542399,2000,100,2000,57,2.55928125,2185,4,857.1653172,0,0,6.895496278,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
9,DN1750_Banjar,Viscosity,324.6157333,2000,100,2000,57,2.4473125,2185,4,857.1659412,0,0,6.593812989,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
10,DN1750_Banjar,Viscosity,381.8069181,2000,100,2000,57,2.3579375,2185,4,857.2364977,0,0,6.352486339,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
11,DN1750_Banjar,Viscosity,442.2576839,2000,100,2000,57,2.243625,2185,4,857.213954,0,0,6.0446776,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
12,DN1750_Banjar,Viscosity,496.4033512,2000,100,2000,57,2.123125,2185,4,857.2086496,0,0,5.720067098,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
13,DN1750_Banjar,Viscosity,531.2620634,2000,100,2000,57,1.99953125,2185,4,857.1382491,0,0,5.387526558,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
14,DN1750_Banjar,Viscosity,560.6221274,2000,100,2000,57,1.92275,2185,4,857.1156273,0,0,5.180784291,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
15,DN1750_Banjar,Viscosity,575.6524342,2000,100,2000,57,1.9038125,2185,4,857.0295086,0,0,5.130273308,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
16,DN1750_Banjar,Viscosity,592.5520525,2000,100,2000,57,1.87175,2185,4,856.9929627,0,0,5.044088407,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
17,DN1750_Banjar,Viscosity,601.2651099,2000,100,2000,57,1.83259375,2185,4,856.9382804,0,0,4.938883262,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
18,DN1750_Banjar,Viscosity,602.8198226,2000,100,2000,57,1.8194375,2185,4,856.7839454,0,0,4.904310127,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
19,DN1750_Banjar,Viscosity,604.9702552,2000,100,2000,57,1.825,2185,4,856.8397587,0,0,4.918983459,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
20,DN1750_Banjar,Emulsion,44.01106263,2000,100,2000,83,2.9505288,2185,4,867.2421371,4.38252211,0,7.857268439,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
21,DN1750_Banjar,Emulsion,100.3536026,2000,100,2000,83,2.80928983,2185,4,866.5622943,4.52999305,0,7.487017745,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
22,DN1750_Banjar,Emulsion,132.971796,2000,100,2000,83,2.73129971,2185,4,866.3517721,4.37475568,0,7.280935675,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
23,DN1750_Banjar,Emulsion,161.2504382,2000,100,2000,83,2.64354919,2185,4,866.4172086,4.42300665,0,7.04648335,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
24,DN1750_Banjar,Emulsion,216.0961549,2000,100,2000,83,2.55163349,2185,4,866.0738373,4.16979744,0,6.804175045,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
25,DN1750_Banjar,Emulsion,244.478094,2000,100,2000,83,2.48288157,2185,4,866.2881692,4.32784812,0,6.619203377,-1,-1,-1,-1,-1,0.035599,100,60,0,DN1750,none
